#序列号    类型          状态        状态原因编号   签发时间/吊销时间         颁发者序列号      算法
#     ROOT/CA/END   V正常R吊销N未知     0-9    例如 2000/06/17-12:12:12     A00001	 RSA|DSA|ECC|SM2
13fbe8654e31862 R V 0 2024/10/21-17:50:26 13fbe8654e31862 RSA
10fc8036e E V 0 2024/10/21-17:50:27 13fbe8654e31862 RSA
10fc803fb E V 0 2024/10/21-17:50:27 13fbe8654e31862 RSA
10fc80207 E V 0 2024/10/21-17:50:28 13fbe8654e31862 RSA
1cdd32e772532 C V 0 2024/10/21-17:52:25 13fbe8654e31862 RSA
1cdd32e77277c C V 0 2024/10/21-17:53:50 13fbe8654e31862 ECC
1cdd32e77274e C V 0 2024/10/21-17:55:14 13fbe8654e31862 SM2
10fc80a1d E R 5 2024/10/25-19:31:25 1cdd32e772532 RSA
10fc8093f E R 5 2024/10/25-19:31:13 1cdd32e77277c ECC
10fc80951 E R 5 2024/10/25-19:10:36 1cdd32e77274e SM2
10fc80b71 E V 0 2024/10/21-18:21:07 1cdd32e77274e SM2
10fc80ad3 E V 0 2024/10/21-18:21:40 1cdd32e77274e SM2
10fc80bf8 E V 0 2024/10/21-18:29:02 1cdd32e77277c ECC
10fc954f3 E V 5 2024/10/22-18:18:08 1cdd32e77277c ECC
10fc983b5 E V 0 2024/10/22-21:09:44 1cdd32e77277c ECC
10fc9863f E V 0 2024/10/22-21:19:11 1cdd32e77277c ECC]
10fc9862c E V 0 2024/10/22-21:19:52 1cdd32e77277c ECC]
10fc985b0 E V 0 2024/10/22-21:20:51 1cdd32e77277c ECC]
10fc98795 E V 0 2024/10/22-21:22:03 1cdd32e77277c ECC
10fc98706 E V 0 2024/10/22-21:33:29 1cdd32e77277c ECC]
10fc989ad E V 0 2024/10/22-21:34:04 1cdd32e77277c ECC
10fc98968 E R 5 2024/10/25-19:31:58 1cdd32e77277c ECC
10fca3abc E V 0 2024/10/23-10:12:41 1cdd32e772532 RSA
10fca3ed6 E V 0 2024/10/23-10:25:01 1cdd32e772532 RSA]
10fca3bf0 E V 0 2024/10/23-10:25:22 1cdd32e772532 RSA
10fca3fca E V 0 2024/10/23-10:42:51 1cdd32e772532 RSA
10fca4353 E V 0 2024/10/23-10:57:05 1cdd32e772532 RSA
10fca464d E V 0 2024/10/23-11:02:40 1cdd32e772532 RSA
10fca4c23 E V 0 2024/10/23-11:29:51 1cdd32e772532 RSA
10fca4e88 E V 0 2024/10/23-11:34:47 1cdd32e772532 RSA
10fca4f47 E V 0 2024/10/23-11:40:57 1cdd32e772532 RSA
10fca510d E V 0 2024/10/23-11:42:32 1cdd32e772532 RSA
10fca4e85 E V 0 2024/10/23-11:43:23 1cdd32e772532 RSA
10fca52e1 E V 0 2024/10/23-11:51:58 1cdd32e772532 RSA
10fca5342 E V 0 2024/10/23-11:55:55 1cdd32e772532 RSA
10fca5603 E V 0 2024/10/23-12:11:08 1cdd32e772532 RSA
10fca54ac E V 0 2024/10/23-12:12:02 1cdd32e772532 RSA
10fca5746 E V 0 2024/10/23-12:13:56 1cdd32e772532 RSA
10fca579a E V 0 2024/10/23-12:16:27 1cdd32e772532 RSA
10fca5a07 E V 0 2024/10/23-12:29:28 1cdd32e772532 RSA
10fca5a35 E V 0 2024/10/23-12:30:17 1cdd32e772532 RSA
10fca5a10 E V 0 2024/10/23-12:31:24 1cdd32e772532 RSA
10fca5bf0 E V 0 2024/10/23-12:32:32 1cdd32e772532 RSA
10fca5ad6 E V 0 2024/10/23-12:34:13 1cdd32e772532 RSA
10fca5cef E V 0 2024/10/23-12:37:20 1cdd32e772532 RSA
10fca5d5d E V 0 2024/10/23-12:41:15 1cdd32e772532 RSA
10fca60b3 E V 0 2024/10/23-12:52:02 1cdd32e772532 RSA
10fca6202 E V 0 2024/10/23-12:55:45 1cdd32e772532 RSA
10fca63d7 E V 0 2024/10/23-13:00:29 1cdd32e772532 RSA
10fca63b8 E V 0 2024/10/23-13:01:21 1cdd32e772532 RSA
10fca6392 E V 0 2024/10/23-13:05:46 1cdd32e772532 RSA
10fca62d3 E V 0 2024/10/23-13:08:17 1cdd32e772532 RSA
10fca650c E V 0 2024/10/23-13:08:37 1cdd32e772532 RSA
10fca65aa E V 0 2024/10/23-13:11:18 1cdd32e772532 RSA
10fca66ea E V 0 2024/10/23-13:18:51 1cdd32e772532 RSA
10fca6493 E V 0 2024/10/23-13:19:40 1cdd32e772532 RSA
10fca6568 E V 0 2024/10/23-13:22:43 1cdd32e772532 RSA
10fca6822 E V 0 2024/10/23-13:24:33 1cdd32e772532 RSA
10fca6692 E V 0 2024/10/23-13:27:52 1cdd32e772532 RSA
10fca6950 E V 0 2024/10/23-13:29:11 1cdd32e772532 RSA
10fca66e3 E V 0 2024/10/23-13:29:24 1cdd32e772532 RSA
10fca678b E V 0 2024/10/23-13:32:12 1cdd32e772532 RSA
10fca6ab3 E V 0 2024/10/23-13:40:44 1cdd32e772532 RSA
10fca6bd4 E V 0 2024/10/23-13:44:52 1cdd32e772532 RSA
10fca6d58 E V 0 2024/10/23-13:46:01 1cdd32e772532 RSA
10fca6adb E V 0 2024/10/23-13:46:45 1cdd32e772532 RSA
10fca6dc1 E V 0 2024/10/23-13:47:52 1cdd32e772532 RSA
10fca6d11 E V 0 2024/10/23-13:52:35 1cdd32e772532 RSA
10fca6db9 E V 0 2024/10/23-13:55:30 1cdd32e772532 RSA
10fca6eb8 E V 0 2024/10/23-13:59:46 1cdd32e772532 RSA
10fca71c5 E V 0 2024/10/23-14:01:10 1cdd32e772532 RSA
10fca70ad E V 0 2024/10/23-14:01:51 1cdd32e772532 RSA
10fca7151 E V 0 2024/10/23-14:03:40 1cdd32e772532 RSA
10fca7048 E V 0 2024/10/23-14:05:37 1cdd32e772532 RSA
10fcbbe83 E V 0 2024/10/24-13:42:53 1cdd32e77277c RSA
10fcbbcdb E V 0 2024/10/24-13:45:20 1cdd32e77277c RSA
10fcbc10f E V 0 2024/10/24-13:57:52 1cdd32e77277c RSA
10fcbc203 E V 0 2024/10/24-14:02:23 1cdd32e77277c RSA
10fcbc0fb E V 0 2024/10/24-14:04:05 1cdd32e77277c RSA
10fcbc1d3 E R 5 2024/10/25-19:27:02 1cdd32e772532 RSA
10fcbc989 E V 0 2024/10/24-14:30:01 13fbe8654e31862 ECC
